Running simulation for n_fluences=12
Tensors initialization on device cuda
Multiprobe = None

('MSE', None) RECONSTRUCTIONS

Reconstruction for fluence = 100.0 photons/pixel
Epoch 14: loss = 1175446.5 | lr = 0.010000000000000002
Epoch 15: loss = 1177653.75 | lr = 0.010000000000000002
Epoch 16: loss = 1174429.0 | lr = 0.010000000000000002
Epoch 17: loss = 1170284.625 | lr = 0.010000000000000002
Epoch 18: loss = 1167510.5 | lr = 0.010000000000000002
Epoch 19: loss = 1166087.75 | lr = 0.010000000000000002
Epoch 20: loss = 1165449.375 | lr = 0.010000000000000002
Epoch 21: loss = 1164955.5 | lr = 0.010000000000000002
Epoch 22: loss = 1164256.5 | lr = 0.010000000000000002
Epoch 23: loss = 1163405.5 | lr = 0.010000000000000002
Epoch 24: loss = 1162587.75 | lr = 0.010000000000000002
Epoch 25: loss = 1161878.5 | lr = 0.010000000000000002
Epoch 26: loss = 1161252.625 | lr = 0.010000000000000002
Epoch 27: loss = 1160719.75 | lr = 0.010000000000000002
Epoch 28: loss = 1160261.5 | lr = 0.010000000000000002
Epoch 29: loss = 1159875.5 | lr = 0.010000000000000002
Epoch 30: loss = 1159559.5 | lr = 0.010000000000000002
Epoch 31: loss = 1159265.5 | lr = 0.010000000000000002
Epoch 32: loss = 1158985.5 | lr = 0.010000000000000002
Epoch 33: loss = 1158735.125 | lr = 0.010000000000000002
Epoch 34: loss = 1158487.375 | lr = 0.010000000000000002
Epoch 35: loss = 1158249.0 | lr = 0.010000000000000002
Epoch 36: loss = 1158038.5 | lr = 0.010000000000000002
Epoch 37: loss = 1157854.125 | lr = 0.010000000000000002
Epoch 38: loss = 1157703.375 | lr = 0.010000000000000002
Epoch 39: loss = 1157598.375 | lr = 0.010000000000000002
Epoch 40: loss = 1157510.375 | lr = 0.010000000000000002
Epoch 41: loss = 1157408.5 | lr = 0.010000000000000002
Epoch 42: loss = 1157285.5 | lr = 0.010000000000000002
Epoch 43: loss = 1157168.375 | lr = 0.010000000000000002
Epoch 44: loss = 1157078.0 | lr = 0.010000000000000002
Epoch 45: loss = 1157016.625 | lr = 0.010000000000000002
Epoch 46: loss = 1156972.5 | lr = 0.010000000000000002
Epoch 47: loss = 1156925.5 | lr = 0.010000000000000002
Epoch 48: loss = 1156865.875 | lr = 0.010000000000000002
Epoch 49: loss = 1156804.0 | lr = 0.010000000000000002
Epoch 50: loss = 1156753.125 | lr = 0.010000000000000002
Epoch 51: loss = 1156717.0 | lr = 0.010000000000000002
Epoch 52: loss = 1156688.75 | lr = 0.010000000000000002
Epoch 53: loss = 1156664.25 | lr = 0.010000000000000002
Epoch 54: loss = 1156642.125 | lr = 0.010000000000000002
Epoch 55: loss = 1156617.0 | lr = 0.010000000000000002
Epoch 56: loss = 1156588.25 | lr = 0.010000000000000002
Epoch 57: loss = 1156561.5 | lr = 0.010000000000000002
Epoch 58: loss = 1156540.75 | lr = 0.010000000000000002
Epoch 59: loss = 1156525.75 | lr = 0.010000000000000002
Epoch 60: loss = 1156514.125 | lr = 0.010000000000000002
Epoch 61: loss = 1156504.0 | lr = 0.010000000000000002
Epoch 62: loss = 1156494.375 | lr = 0.010000000000000002
Epoch 63: loss = 1156483.375 | lr = 0.010000000000000002
Epoch 64: loss = 1156471.0 | lr = 0.010000000000000002
Epoch 65: loss = 1156459.375 | lr = 0.010000000000000002
Epoch 66: loss = 1156450.25 | lr = 0.010000000000000002
Epoch 67: loss = 1156443.5 | lr = 0.010000000000000002
Epoch 68: loss = 1156438.875 | lr = 0.010000000000000002
Epoch 69: loss = 1156435.125 | lr = 0.010000000000000002
Epoch 70: loss = 1156430.5 | lr = 0.010000000000000002
Epoch 71: loss = 1156425.0 | lr = 0.010000000000000002
Epoch 72: loss = 1156419.5 | lr = 0.010000000000000002
Epoch 73: loss = 1156415.0 | lr = 0.0010000000000000002
Epoch 74: loss = 1156411.75 | lr = 0.0010000000000000002
Epoch 75: loss = 1156410.75 | lr = 0.0010000000000000002
Epoch 76: loss = 1156408.25 | lr = 0.0010000000000000002
Epoch 77: loss = 1156404.875 | lr = 0.0010000000000000002
Epoch 78: loss = 1156401.125 | lr = 0.0010000000000000002
Epoch 79: loss = 1156397.5 | lr = 0.0010000000000000002
Epoch 80: loss = 1156394.25 | lr = 0.0010000000000000002
Epoch 81: loss = 1156391.5 | lr = 0.0010000000000000002
Epoch 82: loss = 1156389.375 | lr = 0.00010000000000000003
Epoch 83: loss = 1156387.75 | lr = 0.00010000000000000003
Epoch 84: loss = 1156387.5 | lr = 0.00010000000000000003
Epoch 85: loss = 1156387.25 | lr = 0.00010000000000000003
Epoch 86: loss = 1156387.125 | lr = 0.00010000000000000003
Epoch 87: loss = 1156387.0 | lr = 0.00010000000000000003
Epoch 88: loss = 1156386.75 | lr = 0.00010000000000000003
Epoch 89: loss = 1156386.5 | lr = 0.00010000000000000003
Epoch 90: loss = 1156386.375 | lr = 0.00010000000000000003
Epoch 91: loss = 1156386.25 | lr = 1.0000000000000004e-05
Epoch 92: loss = 1156386.0 | lr = 1.0000000000000004e-05
Epoch 93: loss = 1156386.125 | lr = 1.0000000000000004e-05
Epoch 94: loss = 1156386.0 | lr = 1.0000000000000004e-05
Epoch 95: loss = 1156386.0 | lr = 1.0000000000000004e-05
Epoch 96: loss = 1156386.0 | lr = 1.0000000000000004e-05
Epoch 97: loss = 1156386.0 | lr = 1.0000000000000004e-05
Epoch 98: loss = 1156386.0 | lr = 1.0000000000000004e-05
Epoch 99: loss = 1156386.0 | lr = 1.0000000000000004e-05
Epoch 100: loss = 1156385.875 | lr = 1.0000000000000004e-06
Epoch 101: loss = 1156385.75 | lr = 1.0000000000000004e-06
Epoch 102: loss = 1156385.875 | lr = 1.0000000000000004e-06
Epoch 103: loss = 1156385.875 | lr = 1.0000000000000004e-06
Epoch 104: loss = 1156386.0 | lr = 1.0000000000000004e-06
Epoch 105: loss = 1156385.75 | lr = 1.0000000000000004e-06
Epoch 106: loss = 1156385.875 | lr = 1.0000000000000004e-06
Epoch 107: loss = 1156385.75 | lr = 1.0000000000000004e-06
Epoch 108: loss = 1156385.875 | lr = 1.0000000000000004e-06
Epoch 109: loss = 1156385.875 | lr = 1.0000000000000005e-07
Epoch 110: loss = 1156385.875 | lr = 1.0000000000000005e-07
Epoch 111: loss = 1156385.75 | lr = 1.0000000000000005e-07
Epoch 112: loss = 1156385.875 | lr = 1.0000000000000005e-07
Epoch 113: loss = 1156385.875 | lr = 1.0000000000000005e-07
Epoch 114: loss = 1156385.875 | lr = 1.0000000000000005e-07
Epoch 115: loss = 1156385.875 | lr = 1.0000000000000005e-07
Epoch 116: loss = 1156385.875 | lr = 1.0000000000000005e-07
Epoch 117: loss = 1156385.75 | lr = 1.0000000000000005e-07
Epoch 118: loss = 1156385.75 | lr = 1.0000000000000005e-08
Epoch 119: loss = 1156385.75 | lr = 1.0000000000000005e-08
Epoch 120: loss = 1156385.875 | lr = 1.0000000000000005e-08
Epoch 121: loss = 1156385.875 | lr = 1.0000000000000005e-08
Epoch 122: loss = 1156385.875 | lr = 1.0000000000000005e-08
Epoch 123: loss = 1156385.75 | lr = 1.0000000000000005e-08
Epoch 124: loss = 1156385.875 | lr = 1.0000000000000005e-08
Epoch 125: loss = 1156385.875 | lr = 1.0000000000000005e-08
Epoch 126: loss = 1156385.875 | lr = 1.0000000000000005e-08
Epoch 127: loss = 1156385.875 | lr = 1.0000000000000005e-09
Epoch 128: loss = 1156385.75 | lr = 1.0000000000000005e-09
Epoch 129: loss = 1156385.875 | lr = 1.0000000000000005e-09
Epoch 130: loss = 1156385.875 | lr = 1.0000000000000005e-09
Epoch 131: loss = 1156385.875 | lr = 1.0000000000000005e-09
Epoch 132: loss = 1156385.75 | lr = 1.0000000000000005e-09
Epoch 133: loss = 1156385.875 | lr = 1.0000000000000005e-09
Epoch 134: loss = 1156385.875 | lr = 1.0000000000000005e-09
